Topic,Difficulty,Question,Option A,Option B,Option C,Option D,Correct Answer
Distributing items when a person cannot take more than two items of same type,Medium,What is the space complexity of a greedy algorithm for one person?,O(1),O(n),O(n^2),O(log n),A
Distributing items when a person cannot take more than two items of same type,Medium,"If the constraint changes to ""at most m items per type"", the maximum one person can take is:","sum over types min(count[i], m)",m * number of types,sum over types count[i],m * max(count),A
Distributing items when a person cannot take more than two items of same type,Medium,"What is the output of distribute([1,1,1,1,1], max=2) for one person?",5,10,2,1,A
Distributing items when a person cannot take more than two items of same type,Hard,"Given counts [a,b,c] and each person takes at most 2 per type, what is the maximum number of persons that can be served if each person takes exactly 2 of each type?","min(a/2, b/2, c/2)",a+b+c/6,(a+b+c)/2,"min(a,b,c)",A
Distributing items when a person cannot take more than two items of same type,Hard,"For N persons, each taking at most 2 per type, what is the time complexity of a fair distribution algorithm using a max-heap per type?",O(N log K) where K is number of types,O(N*K),O(N^2),O(K log N),A
Distributing items when a person cannot take more than two items of same type,Hard,What is the space complexity to simulate distribution for multiple persons with per-type constraints?,O(1),O(K),O(N),O(N*K),B
Distributing items when a person cannot take more than two items of same type,Hard,"Given counts [100,1,1] and 50 persons each taking up to 2 per type, how many persons can be fully satisfied (take 2 from each type)?",0,1,2,50,B
Distributing items when a person cannot take more than two items of same type,Hard,What is the maximum number of distinct types a person can take from if each type has at least 2 items and constraint is 2 per type?,All types,Half types,2 types,Depends on count,A
Distributing items when a person cannot take more than two items of same type,Hard,Which algorithm variant solves the problem of maximizing the number of persons with equal distribution?,Flow network,Greedy,Dynamic programming on types,Backtracking,A
Distributing items when a person cannot take more than two items of same type,Hard,"Given counts [5,5,5] and 3 persons each taking at most 2 per type, what is the maximum total items distributed?",15,10,12,9,C
Distributing items when a person cannot take more than two items of same type,Hard,Time complexity of checking feasibility for P persons with constraint at most 2 per type using binary search?,O(P log sum),O(K log sum),O(K),O(K log P),B
Distributing items when a person cannot take more than two items of same type,Hard,What is the upper bound on number of items one person can take given K types?,K,2K,sum(counts),infinite,B
Distributing items when a person cannot take more than two items of same type,Hard,"If each person cannot take more than two items of the same type, the problem reduces to:",Bin packing,Multiset partition,Bounded knapsack,Graph coloring,B
Introduction - Basic fibonacci problem,Easy,"What is the 5th Fibonacci number (F(5) with F(0)=0, F(1)=1)?",3,5,8,13,B
Introduction - Basic fibonacci problem,Easy,What is the time complexity of the recursive Fibonacci implementation without memoization?,O(n),O(n^2),O(2^n),O(log n),C
Introduction - Basic fibonacci problem,Easy,What is the space complexity of the iterative Fibonacci implementation using two variables?,O(1),O(n),O(log n),O(2^n),A
Introduction - Basic fibonacci problem,Easy,Which approach to Fibonacci has O(n) time and O(1) space?,Recursive,Memoization,Iterative with two variables,Matrix exponentiation,C
Introduction - Basic fibonacci problem,Easy,What is the base case in the Fibonacci recurrence F(n) = F(n-1) + F(n-2)?,"F(0)=0, F(1)=1","F(0)=1, F(1)=1","F(0)=0, F(1)=0","F(0)=1, F(1)=0",A
Introduction - Basic fibonacci problem,Easy,"Given F(0)=0, F(1)=1, what is F(6)?",5,8,13,21,B
Introduction - Basic fibonacci problem,Easy,Which data structure is commonly used for memoization in Fibonacci?,Stack,Queue,Array/HashMap,Tree,C
Introduction - Basic fibonacci problem,Easy,What is the space complexity of top-down DP (memoization) for Fibonacci with n+1 array?,O(1),O(n),O(n^2),O(2^n),B
Introduction - Basic fibonacci problem,Easy,What is the sum of first 5 Fibonacci numbers (F0 to F4)?,7,12,20,33,A
Introduction - Basic fibonacci problem,Easy,Which of the following is a property of Fibonacci numbers?,F(n) = phi^n / sqrt(5) rounded,F(n) = n^2,F(n) = 2^n,F(n) = n!,A
Introduction - Basic fibonacci problem,Medium,What is the time complexity of matrix exponentiation method for Fibonacci?,O(n),O(log n),O(n log n),O(1),B
Introduction - Basic fibonacci problem,Medium,"Given the iterative code: int a=0,b=1; for(int i=2;i<=n;i++){ int c=a+b; a=b; b=c; } What is value of a after loop for n=5?",3,5,"1, 7, 1900",13,B
Introduction - Basic fibonacci problem,Medium,What is the maximum n for which recursive Fibonacci (without memo) is feasible under 1 second?,~10,~40,~100,~1000,B
Introduction - Basic fibonacci problem,Medium,What is the number of function calls for recursive Fibonacci F(5)?,5,8,15,20,C
Introduction - Basic fibonacci problem,Medium,Which approach is most efficient for computing large Fibonacci numbers (n=10^6)?,Recursive,Iterative with 64-bit int,Matrix exponentiation with fast doubling,Memoization,C
Introduction - Basic fibonacci problem,Medium,The fast doubling method for Fibonacci has what time complexity?,O(log n),O(n),O(1),O(n^2),A
Introduction - Basic fibonacci problem,Medium,What is the space complexity of memoized recursion for Fibonacci with array of size n?,O(1),O(n),O(log n),O(n^2),B
Introduction - Basic fibonacci problem,Medium,"Given F(0)=0, F(1)=1, what is the ratio F(n+1)/F(n) as n approaches infinity?",1.618,2.718,1.414,0.618,A
Introduction - Basic fibonacci problem,Medium,What is the output of F(0)+F(1)+...+F(n) = ?,F(n+2)-1,F(n+1),F(n),F(n+2),A
Introduction - Basic fibonacci problem,Medium,Which of the following is a disadvantage of recursive Fibonacci?,Stack overflow for large n,Too fast,Requires extra libraries,Not accurate,A
Introduction - Basic fibonacci problem,Hard,What is the time complexity of the fast doubling method to compute F(n)?,O(n),O(log n),O(1),O(sqrt(n)),B
Introduction - Basic fibonacci problem,Hard,Given the recursive function: if(n<2) return n; return fib(n-1)+fib(n-2)+1; What is the value for n=3?,3,4,5,6,B
Introduction - Basic fibonacci problem,Hard,What is the maximum value of n for which iterative Fibonacci using 64-bit unsigned long long does not overflow (approx)?,47,93,100,200,B
Introduction - Basic fibonacci problem,Hard,What is the time complexity of computing all Fibonacci numbers up to n using DP array?,O(1),O(n),O(log n),O(n^2),B
Introduction - Basic fibonacci problem,Hard,Which technique can reduce the space of DP to O(1) while keeping time O(n)?,Use two variables,Use recursion,Use matrix,Use memoization,A
Introduction - Basic fibonacci problem,Hard,"Given the closed form Binet's formula, why is it not used in practice for large n?",Floating point errors,Too slow,Complex to code,Requires extra memory,A
Introduction - Basic fibonacci problem,Hard,What is the number of additions performed in iterative Fibonacci for n=10?,9,10,11,20,A
Introduction - Basic fibonacci problem,Hard,The Fibonacci sequence modulo m repeats with a period called:,Pisano period,Graham's number,Fermat period,Euler period,A
Introduction - Basic fibonacci problem,Hard,What is the time complexity of computing F(n) modulo m using matrix exponentiation?,O(log n),O(n),O(n log m),O(m log n),A
Introduction - Basic fibonacci problem,Hard,"Given that F(0)=0, F(1)=1. How many recursive calls are made for fib(6) in naive recursion?",15,21,25,30,C
Longest Common Subsequence,Easy,What does LCS stand for?,Longest Common String,Longest Common Subsequence,Longest Continuous Substring,Longest Character Sequence,B
Longest Common Subsequence,Easy,"What is the length of LCS of ""ABC"" and ""AC""?",1,2,3,0,B
Longest Common Subsequence,Easy,What is the time complexity of the standard DP solution for LCS of two strings of lengths m and n?,O(m+n),O(m*n),O(m log n),O(2^m),B
Longest Common Subsequence,Easy,What is the space complexity of the standard DP table for LCS (using full matrix)?,O(m+n),O(m*n),O(max(m,n)),O(1)
Longest Common Subsequence,Easy,"If two strings have no common characters, LCS length is:",0,1,min length,max length,A
Longest Common Subsequence,Easy,"What is the LCS of ""ABCD"" and ""ABED""?",ABD,ABC,ABE,ABCD,A
Longest Common Subsequence,Easy,Which algorithmic approach is most common for LCS?,Greedy,Divide and Conquer,Dynamic Programming,Backtracking,C
Longest Common Subsequence,Easy,"What is the LCS length of ""abcde"" and ""ace""?",3,4,5,2,A
Longest Common Subsequence,Easy,"In LCS DP, if characters match, what is the recurrence?",dp[i][j] = dp[i-1][j-1] + 1,"dp[i][j] = max(dp[i-1][j], dp[i][j-1])",dp[i][j] = dp[i-1][j] + dp[i][j-1],dp[i][j] = 0,A
Longest Common Subsequence,Easy,What is the base case for LCS DP table?,dp[0][j]=1,dp[0][j]=0,dp[i][0]=1,dp[0][0]=1,B
Longest Common Subsequence,Medium,"Given strings of length 1000 each, what is the approximate time to compute LCS using standard DP?",1e3 ops,1e6 ops,1e9 ops,1e12 ops,B
Longest Common Subsequence,Medium,What is the space optimized version of LCS using two rows?,O(m+n),O(min(m,n)),O(m*n),O(1)
Longest Common Subsequence,Medium,Which of the following can be used to reconstruct the actual LCS sequence?,DP table and backtracking,Only lengths,Greedy selection,Sorting,A
Longest Common Subsequence,Medium,"Given X=""ABCBDAB"", Y=""BDCABA"", what is LCS length?",4,5,6,7,A
Longest Common Subsequence,Medium,What is the time complexity of LCS using Hirschberg's algorithm (divide and conquer)?,O(m*n),O(m+n),O(m*n) but O(min(m,n)) space,O(m log n)
Longest Common Subsequence,Medium,LCS is not the same as:,Longest Common Substring,Longest Common Subsequence,Longest Common Subsequence (same),All are same,A
Longest Common Subsequence,Medium,"If we change the recurrence to dp[i][j] = max(dp[i-1][j], dp[i][j-1], dp[i-1][j-1] + (x[i]==y[j]?1:0)), what is this?",LCS,Edit distance,LCSubstring,Shortest common supersequence,A
Longest Common Subsequence,Medium,"What is the output of LCS DP for ""abc"" and ""def""?",0,1,2,3,A
Longest Common Subsequence,Medium,"What is the space complexity of LCS if we only need the length, using two rows?",O(m),O(n),O(min(m,n)),O(m*n)
Longest Common Subsequence,Medium,"Which of the following is a valid LCS of ""stone"" and ""longest""?",one,long,stone,tone,D
Longest Common Subsequence,Hard,What is the time complexity of computing LCS using the Patience sorting variant for permutations?,O(n log n),O(n^2),O(n),O(log n),A
Longest Common Subsequence,Hard,"Given two strings of length n, what is the worst-case number of distinct LCS?",O(n),O(2^n),O(n^2),O(1),B
Longest Common Subsequence,Hard,What is the lower bound for comparison-based LCS algorithm?,Omega(n log n),Omega(m*n),Omega(2^n),Omega(n),A
Longest Common Subsequence,Hard,Which algorithm solves LCS in O(n^2 / log n) for certain cases?,Hunt-Szymanski,Myrvold,KMP,Rabin-Karp,A
Longest Common Subsequence,Hard,"Given two strings of length N, the DP table has N^2 entries. What is the best possible time for LCS in general?",O(N^2),O(N log N),O(N),O(2^N),A
Longest Common Subsequence,Hard,"What is the LCS length of ""abacdfgdcaba"" and ""abacdgfdcaba""?",10,11,12,13,B
Longest Common Subsequence,Hard,"In the DP table, if characters don't match, the recurrence is:","max(dp[i-1][j], dp[i][j-1])",dp[i-1][j-1],dp[i-1][j] + 1,dp[i][j-1] + 1,A
Longest Common Subsequence,Hard,Which technique reduces LCS to LIS when one string has distinct characters?,Mapping positions,Sorting,Greedy,Divide and conquer,A
Longest Common Subsequence,Hard,What is the space complexity of Hirschberg's algorithm for LCS?,O(min(m,n)),O(m*n),O(m+n),O(max(m
Longest Common Subsequence,Hard,"Given two strings of lengths m and n, the time complexity of LCS using the algorithm that handles large alphabets is:",O((m+n) log (m+n)),O(m*n),O(m^2),O(n^2),A
Longest Increasing Subsequence,Easy,"What is the length of LIS of [3, 10, 2, 1, 20]?",2,3,4,5,B
Longest Increasing Subsequence,Easy,What is the time complexity of the O(n^2) DP solution for LIS?,O(n),O(n log n),O(n^2),O(2^n),C
Longest Increasing Subsequence,Easy,What is the space complexity of the O(n^2) DP solution?,O(1),O(n),O(n^2),O(log n),B
Longest Increasing Subsequence,Easy,Which algorithm solves LIS in O(n log n) time?,Greedy + binary search,DP + memoization,Divide and conquer,Segment tree,A
Longest Increasing Subsequence,Easy,"What is the LIS of [5,4,3,2,1]?",1,2,3,5,A
Longest Increasing Subsequence,Easy,"What is the LIS of [1,2,3,4,5]?",1,2,5,0,C
Longest Increasing Subsequence,Easy,What does the array 'tail' represent in the O(n log n) algorithm?,The smallest possible tail of all increasing subsequences of length i,The actual LIS,The longest decreasing subsequence,The DP values,A
Longest Increasing Subsequence,Easy,"Given an array of size n, what is the best achievable time complexity for LIS?",O(n),O(n log n),O(n^2),O(log n),B
Longest Increasing Subsequence,Easy,"What is the LIS length of [2,2,2] if strictly increasing?",1,2,3,0,A
Longest Increasing Subsequence,Easy,Which of the following problems can be reduced to LIS?,Minimum number of deletions to make array sorted,Maximum subarray sum,Longest common substring,Matrix chain multiplication,A
Longest Increasing Subsequence,Medium,"Given [0,8,4,12,2,10,6,14,1,9,5,13,3,11,7,15], what is LIS length?",4,5,6,7,C
Longest Increasing Subsequence,Medium,"In the O(n log n) algorithm, what data structure is used to maintain the tails?",Binary indexed tree,Segment tree,Array with binary search,Heap,C
Longest Increasing Subsequence,Medium,What is the space complexity of the O(n log n) LIS algorithm?,O(1),O(n),O(n log n),O(n^2),B
Longest Increasing Subsequence,Medium,What is the number of comparisons in worst case for O(n log n) LIS?,O(n),O(n log n),O(n^2),O(log n),B
Longest Increasing Subsequence,Medium,"Given an array that is reverse sorted, the O(n log n) algorithm will cause binary search on tails of what size?",O(n),O(log n),O(1),O(n^2),A
Longest Increasing Subsequence,Medium,"What is the LIS of [3,1,5,2,6,4]?",3,4,5,6,A
Longest Increasing Subsequence,Medium,"Which of the following is a valid LIS for [10,22,9,33,21,50,41,60]?","[10,22,33,50,60]","[9,21,41,60]","[10,22,33,41,60]",All of the above,D
Longest Increasing Subsequence,Medium,How can you find the actual LIS (not just length) in O(n log n) time?,Store predecessor array,Not possible,Use DP O(n^2) only,Use recursion,A
Longest Increasing Subsequence,Medium,What is the time complexity of LIS if you use patience sorting?,O(n log n),O(n^2),O(n),O(log n),A
Longest Increasing Subsequence,Medium,"Given an array with duplicates, what is the usual definition of LIS?",Strictly increasing,Non-decreasing,Both,Depends,A
Longest Increasing Subsequence,Hard,"What is the LIS length of [1,3,6,7,9,4,10,5,6]?",5,6,7,8,B
Longest Increasing Subsequence,Hard,The O(n log n) algorithm for LIS uses binary search on tails. What is the invariant of tails array?,tails[i] is the smallest possible ending value of an increasing subsequence of length i+1,tails[i] is the largest ending value,tails is sorted decreasing,tails is the actual LIS,A
Longest Increasing Subsequence,Hard,What is the time complexity to find the number of longest increasing subsequences?,O(n^2),O(n log n),O(n),O(2^n),A
Longest Increasing Subsequence,Hard,"Given an array of n distinct integers, the expected LIS length is approximately:",2*sqrt(n),log n,n/2,2*log n,A
Longest Increasing Subsequence,Hard,Which data structure can be used to solve LIS in O(n log n) with support for updates?,Fenwick tree,Stack,Queue,Linked list,A
Longest Increasing Subsequence,Hard,What is the minimum number of decreasing subsequences required to cover a permutation equal to?,Length of LIS,Length of LDS,Size of permutation,Number of inversions,A
Longest Increasing Subsequence,Hard,"Given an array of length n, the LIS problem can be reduced to computing:",Longest path in DAG,Shortest path,Maximum flow,Minimum spanning tree,A
Longest Increasing Subsequence,Hard,What is the time complexity of LIS using segment tree where values are coordinates compressed?,O(n log n),O(n^2),O(n log^2 n),O(n),A
Longest Increasing Subsequence,Hard,"For a random permutation of size n, the expected length of LIS is approximately:",2*sqrt(n),log n,n/2,n/log n,A
Longest Increasing Subsequence,Hard,"What is the LIS length of [2,1,3,2,4,3,5,4,6]?",5,6,7,8,A
Longest Palindromic Subsequence,Easy,"What is the LPS of ""BBABCBCAB""?",BABCBAB,BCBCB,BACAB,ABCBAB,A
Longest Palindromic Subsequence,Easy,What is the time complexity of DP solution for LPS of a string of length n?,O(n),O(n^2),O(n^3),O(2^n),B
Longest Palindromic Subsequence,Easy,What is the space complexity of the naive DP table for LPS?,O(n),O(n^2),O(1),O(n log n),B
Longest Palindromic Subsequence,Easy,"What is the LPS length of ""ABCD""?",1,2,3,4,A
Longest Palindromic Subsequence,Easy,"What is the LPS of ""A""?",0,1,2,A,B
Longest Palindromic Subsequence,Easy,How is LPS related to LCS?,LPS = LCS of string and its reverse,LPS = LCS of string and itself,LPS = LCS of string and sorted string,No relation,A
Longest Palindromic Subsequence,Easy,"What is the LPS length of ""aaab""?",2,3,4,5,B
Longest Palindromic Subsequence,Easy,Which algorithm is commonly used for LPS?,Dynamic Programming,Greedy,Divide and Conquer,Backtracking,A
Longest Palindromic Subsequence,Easy,What is the base case in LPS DP when i == j?,0,1,2,depends,B
Longest Palindromic Subsequence,Easy,"Given string ""character"", what is LPS length?",5,6,7,8,A
Longest Palindromic Subsequence,Medium,What is the space optimized version of LPS DP using two rows?,O(n),O(1),O(n^2),O(log n),A
Longest Palindromic Subsequence,Medium,"For a string of length 1000, what is the approximate DP table size?",1000000,1000,1000000000,10000,A
Longest Palindromic Subsequence,Medium,"If string is a palindrome, what is LPS length?",n,n-1,1,0,A
Longest Palindromic Subsequence,Medium,"In LPS DP, if s[i]==s[j], the recurrence is:",dp[i][j] = dp[i+1][j-1] + 2,"dp[i][j] = max(dp[i+1][j], dp[i][j-1])",dp[i][j] = dp[i+1][j-1],dp[i][j] = 0,A
Longest Palindromic Subsequence,Medium,"If s[i]!=s[j], the recurrence is:","dp[i][j] = max(dp[i+1][j], dp[i][j-1])",dp[i][j] = dp[i+1][j-1],dp[i][j] = dp[i+1][j] + 1,dp[i][j] = 0,A
Longest Palindromic Subsequence,Medium,"What is the LPS of ""abca""?",3,2,4,1,A
Longest Palindromic Subsequence,Medium,What is the time complexity of LPS using the LCS of string and reverse?,O(n^2),O(n),O(n log n),O(2^n),A
Longest Palindromic Subsequence,Medium,What is the space complexity of the LCS-based approach for LPS?,O(n^2),O(n),O(1),O(n log n),A
Longest Palindromic Subsequence,Medium,"Given string ""forgeeksskeegfor"", what is LPS length?",10,11,12,13,B
Longest Palindromic Subsequence,Medium,Which of the following is not a property of LPS?,It is always a substring,It is a subsequence,It reads same forwards and backwards,Length can be n,A
Longest Palindromic Subsequence,Hard,"What is the LPS length of ""aabbaa""?",4,5,6,3,C
Longest Palindromic Subsequence,Hard,"Given a string of length n, what is the maximum possible number of distinct LPS?",O(n),O(2^n),O(n^2),O(n!),B
Longest Palindromic Subsequence,Hard,What is the minimum number of insertions to make a string palindrome equal to?,n - LPS length,LPS length,n/2,n,A
Longest Palindromic Subsequence,Hard,What is the space complexity of LPS if we use the two-row DP optimization?,O(n),O(n^2),O(1),O(log n),A
Longest Palindromic Subsequence,Hard,"Given a string of length n, what is the maximum possible number of distinct LPS? (duplicate question, replaced)",O(n),O(2^n),O(n^2),O(n!),B
Longest Palindromic Subsequence,Hard,"For a string with all distinct characters, LPS length is:",1,2,n/2,n,A
Longest Palindromic Subsequence,Hard,"What is the LPS of ""abcdeba""?",abcba,abeba,abdba,acba,A
Longest Palindromic Subsequence,Hard,How can we reconstruct one LPS from DP table?,Backtracking using DP decisions,Greedy,Sorting,Hashing,A
Longest Palindromic Subsequence,Hard,What is the time complexity of a recursive LPS without memoization?,O(2^n),O(n^2),O(n),O(n log n),A
Longest Palindromic Subsequence,Hard,"Given that LPS can be solved via LCS with reverse, what is the additional space if we use Hirschberg's algorithm?",O(n),O(n^2),O(1),O(log n),A
Subset sum problem,Easy,"Given a set of positive integers and a target sum, the subset sum problem asks:",Is there a subset that sums exactly to target?,Find the largest subset,Find the smallest subset,Count all subsets,A
Subset sum problem,Easy,What is the time complexity of the DP solution for subset sum with n elements and target sum S?,O(n),O(n*S),O(2^n),O(S),B
Subset sum problem,Easy,What is the space complexity of the DP table for subset sum (n x S)?,O(n),O(S),O(n*S),O(n+S),C
Subset sum problem,Easy,"Given set [3, 34, 4, 12, 5, 2] and target 9, is there a subset?",Yes,No,Maybe,Depends,A
Subset sum problem,Easy,What is the base case in subset sum DP?,dp[0][0]=true,dp[0][0]=false,dp[0][any]=true,dp[any][0]=false,A
Subset sum problem,Easy,Which algorithmic paradigm is typically used for subset sum?,Greedy,Divide and Conquer,Dynamic Programming,Backtracking,C
Subset sum problem,Easy,"If all numbers are positive and target is very large, which approach is inefficient?",DP with O(n*S),Backtracking,Meet in the middle,Greedy,A
Subset sum problem,Easy,"Given set [1,2,3] and target 6, is there a subset?",Yes (1+2+3),No,Only if duplicates allowed,Maybe,A
Subset sum problem,Easy,What is the output of subset sum for empty set and target 0?,TRUE,FALSE,Undefined,Exception,A
Subset sum problem,Easy,Which of the following is a variation of subset sum?,Partition problem,Knapsack,Coin change,All of the above,D
Subset sum problem,Medium,What is the time complexity of solving subset sum using bitset optimization?,O(n*S/wordsize),O(n*S),O(n+S),O(S log n),A
Subset sum problem,Medium,What is the space complexity of the 1D DP array for subset sum (optimized)?,O(S),O(n),O(n*S),O(1),A
Subset sum problem,Medium,"Given set [1,2,3,4,5] and target 11, number of subsets that sum to 11?",1,2,3,4,B
Subset sum problem,Medium,"If numbers are not necessarily positive, can the standard DP still work?","Yes, with offset",No,Only with positive,Only with negative,A
Subset sum problem,Medium,What is the worst-case time of meet-in-the-middle for subset sum?,O(2^(n/2) * n),O(2^n),O(n^2),O(n log n),A
Subset sum problem,Medium,"Which technique can handle subset sum with large S (e.g., 10^9) but small n?",Meet-in-the-middle,DP array,Greedy,Recursion,A
Subset sum problem,Medium,"Given [1,2,3,4,5] target 10, how many subsets sum to 10?",2,3,4,5,B
Subset sum problem,Medium,What is the recurrence for subset sum DP?,dp[i][j] = dp[i-1][j] or dp[i-1][j-arr[i-1]],dp[i][j] = dp[i-1][j] and dp[i-1][j-arr[i-1]],dp[i][j] = dp[i-1][j] + dp[i-1][j-arr[i-1]],"dp[i][j] = min(dp[i-1][j], dp[i-1][j-arr[i-1]])",A
Subset sum problem,Medium,"In subset sum DP, what does dp[i][j] represent?",Possible to get sum j using first i elements,Number of ways to get sum j,Minimum elements to get sum j,Maximum sum using i elements,A
Subset sum problem,Medium,"If target is 0, the empty subset always gives true. This is:",Base case,Edge case,Not allowed,Always false,A
Subset sum problem,Hard,What is the time complexity of subset sum using the Pisinger algorithm for small numbers?,O(n*S),O(n log S),O(n),O(2^n),B
Subset sum problem,Hard,"Given [3,5,7,9,11] and target 15, what is the result?",True (3+5+7),FALSE,True (3+12 not possible),True (5+10 not possible),A
Subset sum problem,Hard,What is the space complexity of subset sum if we use a boolean array of size S+1?,O(S),O(n),O(n+S),O(n*S),A
Subset sum problem,Hard,How can we reconstruct the subset that gives the sum?,Store predecessor decisions,Not possible,Use recursion only,Use greedy,A
Subset sum problem,Hard,"What is the worst-case time complexity of subset sum for n=50, S=10^9 using meet-in-the-middle?",O(2^25 * 25),O(2^50),O(50*10^9),O(10^9),A
Subset sum problem,Hard,"If numbers are extremely large (e.g., up to 2^60) and n=30, which method is best?",Meet-in-the-middle,DP,Greedy,Recursive backtracking,A
Subset sum problem,Hard,What is the pseudo-polynomial complexity of subset sum?,O(n*S),O(2^n),O(n log S),O(S log n),A
Subset sum problem,Hard,The subset sum problem is:,NP-complete,P,NP-hard but not NP-complete,Undecidable,A
Subset sum problem,Hard,"Given [1,1,1,1,1] target 3, number of subsets?",10,5,1,0,A
Subset sum problem,Hard,What is the time complexity of a recursive brute force for subset sum?,O(2^n),O(n^2),O(n!),O(n log n),A
0/1 Knapsack,Easy,"In 0/1 Knapsack, what does 0/1 signify?",Each item can be taken at most once,Each item can be taken fractional,Each item can be taken multiple times,Items are binary encoded,A
0/1 Knapsack,Easy,What is the time complexity of the standard DP solution for 0/1 knapsack with N items and capacity W?,O(N),O(W),O(N*W),O(2^N),C
0/1 Knapsack,Easy,What is the space complexity of the DP table for 0/1 knapsack (N x W)?,O(N),O(W),O(N*W),O(N+W),C
0/1 Knapsack,Easy,"Given items (weight, value): (1,1), (2,2), (3,3), capacity 3. What is maximum value?",3,4,5,6,A
0/1 Knapsack,Easy,Which of the following is a greedy approach that does not work for 0/1 knapsack?,Highest value first,Lowest weight first,Highest value/weight ratio,All of the above,D
0/1 Knapsack,Easy,What is the recurrence for 0/1 knapsack DP?,"dp[i][w] = max(dp[i-1][w], dp[i-1][w-wt[i]] + val[i])",dp[i][w] = dp[i-1][w] + val[i],dp[i][w] = dp[i][w-1] + val[i],"dp[i][w] = min(dp[i-1][w], dp[i-1][w-wt[i]])",A
0/1 Knapsack,Easy,What is the base case for knapsack DP?,dp[0][w]=0,dp[i][0]=0,Both A and B,dp[0][0]=1,C
0/1 Knapsack,Easy,"If capacity is 0, maximum value is:",0,1,infinity,depends,A
0/1 Knapsack,Easy,"If there are no items, maximum value is:",0,1,capacity,infinity,A
0/1 Knapsack,Easy,What is the name of the fractional version of knapsack?,Fractional Knapsack,Continuous Knapsack,Both,Neither,C
0/1 Knapsack,Medium,What is the space optimized version of 0/1 knapsack using 1D DP array?,O(W),O(N),O(N*W),O(1),A
0/1 Knapsack,Medium,"In the 1D DP array, how should we iterate capacity to avoid reusing items?",From W down to 0,From 0 to W,From 0 to W/2,Any order,A
0/1 Knapsack,Medium,"Given items (2,3), (3,4), (4,5), (5,6) and capacity 8. Maximum value?",9,10,11,12,B
0/1 Knapsack,Medium,What is the time complexity of solving 0/1 knapsack with branch and bound?,O(2^N) worst case,O(N*W),O(N log N),O(W),A
0/1 Knapsack,Medium,"If weights and values are integers and W is small, which approach is best?",DP,Greedy,Backtracking,Divide and conquer,A
0/1 Knapsack,Medium,What is the space complexity of the 1D DP optimization?,O(N),O(W),O(1),O(N+W),B
0/1 Knapsack,Medium,"Given N=100, W=1000000, which technique is more suitable?",Meet-in-the-middle,DP O(N*W),Greedy,Branch and bound,A
0/1 Knapsack,Medium,What is the pseudo-polynomial complexity of 0/1 knapsack?,O(N*W),O(2^N),O(N log W),O(W log N),A
0/1 Knapsack,Medium,"If items can be taken multiple times (unbounded knapsack), how does DP differ?",Iterate capacity forward,Iterate capacity backward,No change,Use greedy,A
0/1 Knapsack,Medium,Which of the following is not a valid method for 0/1 knapsack?,Dynamic programming,Greedy,Backtracking with pruning,Branch and bound,B
0/1 Knapsack,Hard,What is the time complexity of solving 0/1 knapsack using the meet-in-the-middle technique?,O(2^(N/2) * N),O(2^N),O(N*W),O(W),A
0/1 Knapsack,Hard,"Given items (6,6), (10,9), (12,12), (13,15), capacity 15. Maximum value?",15,16,17,18,A
0/1 Knapsack,Hard,How can we reconstruct the items selected in knapsack DP?,Store decisions in a separate table,Not possible,Use backtracking only,Use greedy,A
0/1 Knapsack,Hard,What is the best achievable time complexity for 0/1 knapsack in general (assuming P != NP)?,O(2^(N/2)),O(N*W),O(N log W),O(W log N),A
0/1 Knapsack,Hard,"If values are also small, we can change the DP state to use value instead of weight. Complexity becomes:",O(N * Vmax),O(N*W),O(W),O(Vmax),A
0/1 Knapsack,Hard,"Given N=40, W=10^9, which method is infeasible?",DP O(N*W),Meet-in-the-middle,Branch and bound,Backtracking with pruning,A
0/1 Knapsack,Hard,"What is the maximum value for items (1,1), (2,2), (3,3), (4,4), (5,5), capacity 10?",10,11,12,13,A
0/1 Knapsack,Hard,The 0/1 knapsack problem is:,NP-complete,P,NP-hard but not NP-complete,Undecidable,A
0/1 Knapsack,Hard,What is the space complexity of the DP table if we use the value-based DP (dp[value] = min weight)?,O(Vmax),O(W),O(N*Vmax),O(N*W),A
0/1 Knapsack,Hard,"Given two items (2,3) and (3,4), capacity 5. What is the DP value for capacity 4?",3,4,5,0,B
0/1 Knapsack,Hard,What is the primary advantage of branch and bound over DP?,Can handle large capacity,Always optimal,Faster for all cases,Uses less memory,A
